Tanggal,8A HCl,9A HCl,9B HCl,8A NaCl,9A NaCl,9B NaCl,8A Sukrosa,9A Sukrosa,9B Sukrosa,8A MSG,9A MSG,9B MSG,8A Quinine,9A Quinine,9B Quinine
24 Maret 2022,,-20.6,-22.76,,-45.86,-48.42,,13.12,11.28,,125.04,124.76,,136.08,135.5
25 Maret 2022,-14.24,-23,-24.42,-38.04,-47.66,-48.6,13.5,7.8,7.28,127,121.26,121.94,128.32,129.54,128.76
28 Maret 2022,-26.56666667,-26.83333333,-27.9,-47.33333333,-47.73333333,-49.9,13.5,7.8,7.266666667,,,,,,
29 Maret 2022,-26.4,-27.2,-27.33333333,-47.46666667,-47.53333333,-50.6,10.53333333,-84.5,8.233333333,,,,,,
31 Maret 2022,-26.63333333,-27.13333333,-27.53333333,-48.56666667,-48.8,-50.33333333,11.76666667,6.24,7.966666667,,,,,,
11-Apr-22,-96.7,-30.33333333,-30.4,-51.6,-92.4,-52.2,10.66666667,-84.66666667,6.166666667,132.3333333,-75.4,122.7333333,86.6,42.43333333,113.2333333
11-Apr-22,-27.1,-97.03333333,-30.73333333,-51.6,-92.4,-51.5,11.43333333,-10.86666667,9.633333333,130.8333333,-75.2,122.2333333,88.76666667,-30.93333333,110.1666667
11-Apr-22,-27.93333333,-97.46666667,-31.23333333,-51.36666667,-92.46666667,-51.5,11.03333333,-11.43333333,8.933333333,111.7333333,-74.33333333,126.6666667,90.93333333,69.63333333,18.06666667
12-Apr-22,-69.93333333,-25.96666667,-27.96666667,-54.03333333,-81.3,-52.5,11.06666667,-11,10.26666667,118.5333333,74.63333333,120.7333333,141.8,50.5,131.5333333
12-Apr-22,-25.2,-71.16666667,-26.1,-53.3,-81.7,-52.13333333,,,,120.0333333,-23.53333333,121.5333333,138.2,38.56666667,125.6
12-Apr-22,-25.16666667,-70.76666667,-26,-52.8,-81.76666667,-52,,,,120.9,-41.56666667,120.1666667,136.1,32.46666667,131.1666667
13-Apr-22,-27.46666667,-84.76666667,-28.13333333,-53.1,-79.56666667,-53.05,,,,,,,,,
13-Apr-22,-27.13333333,-66.83333333,-28.2,-52.96666667,-80.3,-52.93333333,8.766666667,-6.7,6.166666667,,,,,,
13-Apr-22,-27.4,-69.33333333,-27.86666667,-52.73333333,-80.56666667,-52.5,8.866666667,-7.333333333,6.066666667,,,,,,
14-Apr-22,-29.73333333,-45.2,-30.23333333,-52.86666667,-71,-53.06666667,8.866666667,-7,5.333333333,114.1333333,90.23333333,103.9666667,121.6666667,102.7333333,115.2
14-Apr-22,-29.43333333,-43.03333333,-29.6,-53.03333333,-71.23333333,-52.76666667,6.266666667,4.2,9.666666667,110.8333333,89.3,101.4,123.1666667,102.1,113.7666667
14-Apr-22,-29.3,-41.43333333,-29,-52.9,-78.96666667,-52.93333333,6,4.2,9.533333333,109.5666667,80.83333333,91.23333333,123,101.6666667,115.1666667
18-Apr-22,-30.93333333,-35.53333333,-30.36666667,-53.9,-60.06666667,-53.73333333,5.933333333,3.933333333,9.5,98.3,136.6,142.7,129.1666667,98.46666667,114.0333333
18-Apr-22,-30.03333333,-33.53333333,-30.16666667,-53.26666667,-59.7,-53.46666667,,,,88.4,121.1,120.2333333,125.1,92.6,111.1333333
18-Apr-22,-29.86666667,-34.3,-30.06666667,-53.1,-59.46666667,-53.23333333,12.8,-11.63333333,12.7,93.96666667,120.9666667,123.5,126.3666667,96.7,113.3333333
19-Apr-22,0,-26.43333333,-24.96666667,,-64.33333333,-52.7,,,,75.96666667,102.9,139.8666667,115.6,130.7333333,140.7333333
20-Apr-22,-31,-48.56666667,-31.33333333,-53.9,-71.63333333,-54.13333333,,,,122.8666667,81.16666667,119.5,122.2666667,113.3,139.7333333
27-Apr-22,-49.06666667,-35.3,-36.23333333,-68.36666667,-55.36666667,-57,-13.03333333,8,6.7,86.96666667,80.26666667,94.26666667,131.3666667,136.7666667,138.3666667
